horizon,model,oo_s,year,n,hit_rate,corr
24,RandForest,2022-07-01,2022,1488,0.5584677419354839,0.09218393532645895
48,LogReg,2022-07-01,2022,1488,0.5228494623655914,-0.00993511831929104
48,GBoost,2022-07-01,2022,1488,0.49260752688172044,-0.02997962503686739
48,RandForest,2022-07-01,2022,1488,0.5463709677419355,0.03572469909363099
72,LogReg,2022-07-01,2022,1488,0.4603494623655914,-0.0555530560462088
72,GBoost,2022-07-01,2022,1488,0.4254032258064516,-0.17757816656047237
72,RandForest,2022-07-01,2022,1488,0.4388440860215054,-0.10744291478326175
1,LogReg,2022-09-01,2022,1464,0.5273224043715847,0.07516850633647612
1,GBoost,2022-09-01,2022,1464,0.5259562841530054,0.08899639864203472
1,RandForest,2022-09-01,2022,1464,0.5423497267759563,0.12469866262820584
2,LogReg,2022-09-01,2022,1464,0.5355191256830601,0.08764824566743573
2,GBoost,2022-09-01,2022,1464,0.5471311475409836,0.11566318220261806
2,RandForest,2022-09-01,2022,1464,0.5539617486338798,0.15442518320176818
4,LogReg,2022-09-01,2022,1464,0.5129781420765027,0.08991912007229545
4,GBoost,2022-09-01,2022,1464,0.5403005464480874,0.11317534550128297
4,RandForest,2022-09-01,2022,1464,0.5245901639344263,0.12170480519512487
8,LogReg,2022-09-01,2022,1464,0.5478142076502732,0.1449886025295058
8,GBoost,2022-09-01,2022,1464,0.5396174863387978,0.10098482714026655
8,RandForest,2022-09-01,2022,1464,0.546448087431694,0.11135497532449598
16,LogReg,2022-09-01,2022,1464,0.546448087431694,0.09487873952712757
16,GBoost,2022-09-01,2022,1464,0.5730874316939891,0.120488833283416
16,RandForest,2022-09-01,2022,1464,0.5047814207650273,0.03841175570242787
24,LogReg,2022-09-01,2022,1464,0.5648907103825137,0.10247992944402713
24,GBoost,2022-09-01,2022,1464,0.587431693989071,0.1798924173800889
24,RandForest,2022-09-01,2022,1464,0.5594262295081968,0.1238032128791821
48,LogReg,2022-09-01,2022,1464,0.5389344262295082,0.08722344726654316
48,GBoost,2022-09-01,2022,1464,0.578551912568306,0.14328987435848878
48,RandForest,2022-09-01,2022,1464,0.575136612021858,0.12072954966820454
72,LogReg,2022-09-01,2022,1464,0.5853825136612022,0.06780613982694575
72,GBoost,2022-09-01,2022,1464,0.5648907103825137,0.15124944781800218
72,RandForest,2022-09-01,2022,1464,0.5573770491803278,0.13653417817926924
1,LogReg,2022-11-01,2022,1464,0.5088797814207651,0.045977265095668345
1,GBoost,2022-11-01,2022,1464,0.5403005464480874,0.09863848724989954
1,RandForest,2022-11-01,2022,1464,0.5355191256830601,0.08700932411178597
2,LogReg,2022-11-01,2022,1464,0.5259562841530054,0.03731671209320652
2,GBoost,2022-11-01,2022,1464,0.5245901639344263,0.09510757289506334
2,RandForest,2022-11-01,2022,1464,0.5409836065573771,0.10426610958568597
4,LogReg,2022-11-01,2022,1464,0.51775956284153,0.06258867858265088
4,GBoost,2022-11-01,2022,1464,0.5211748633879781,0.06768288377409348
4,RandForest,2022-11-01,2022,1464,0.5191256830601093,0.05835692797669357
8,LogReg,2022-11-01,2022,1464,0.5184426229508197,0.020773210217790255
8,GBoost,2022-11-01,2022,1464,0.5184426229508197,0.014693740364074464
8,RandForest,2022-11-01,2022,1464,0.5239071038251366,0.03823128157099089
16,LogReg,2022-11-01,2022,1464,0.549863387978142,0.023582652188755087
16,GBoost,2022-11-01,2022,1464,0.4849726775956284,0.012999493589516225
16,RandForest,2022-11-01,2022,1464,0.5081967213114754,0.006840216766092925
24,LogReg,2022-11-01,2022,1464,0.5273224043715847,0.060686604496790024
24,GBoost,2022-11-01,2022,1464,0.47882513661202186,-0.00941047150980004
24,RandForest,2022-11-01,2022,1464,0.47062841530054644,-0.020848424592919797
48,LogReg,2022-11-01,2022,1464,0.505464480874317,0.005768948639909897
48,GBoost,2022-11-01,2022,1464,0.5034153005464481,0.04924417399994264
48,RandForest,2022-11-01,2022,1464,0.505464480874317,0.06574435103897565
72,LogReg,2022-11-01,2022,1464,0.5437158469945356,0.12329686728280799
72,GBoost,2022-11-01,2022,1464,0.5211748633879781,0.09208224345136456
72,RandForest,2022-11-01,2022,1464,0.5648907103825137,0.11439821677852513
1,LogReg,2023-01-01,2023,1416,0.5459039548022598,0.10329976240661604
1,GBoost,2023-01-01,2023,1416,0.5466101694915254,0.10216707748703184
1,RandForest,2023-01-01,2023,1416,0.5586158192090396,0.13855790695330197
2,LogReg,2023-01-01,2023,1416,0.5649717514124294,0.13725380988211444
2,GBoost,2023-01-01,2023,1416,0.5515536723163842,0.12399843105142191
2,RandForest,2023-01-01,2023,1416,0.5614406779661016,0.14954229038921002
4,LogReg,2023-01-01,2023,1416,0.5607344632768362,0.1176312496559665
4,GBoost,2023-01-01,2023,1416,0.5529661016949152,0.13535039215348896
4,RandForest,2023-01-01,2023,1416,0.5699152542372882,0.1752153900374203
8,LogReg,2023-01-01,2023,1416,0.5621468926553672,0.12340902580079421
8,GBoost,2023-01-01,2023,1416,0.5692090395480226,0.1431898708152257
8,RandForest,2023-01-01,2023,1416,0.5699152542372882,0.1673817385881424
16,LogReg,2023-01-01,2023,1416,0.6002824858757062,0.2272189010533664
16,GBoost,2023-01-01,2023,1416,0.5225988700564972,0.03185013317233611
16,RandForest,2023-01-01,2023,1416,0.6045197740112994,0.24909390174722917
24,LogReg,2023-01-01,2023,1416,0.6532485875706214,0.29788542084339
