anchor,ts,year,fc_ret_4h,real_ret_4h,in_band_4h,fc_ret_16h,real_ret_16h,in_band_16h,fc_ret_24h,real_ret_24h,in_band_24h,fc_ret_48h,real_ret_48h,in_band_48h
55436,2026-04-28 19:00:00,2026,0.0025859330028410454,5.898092755174389e-05,1.0,0.005483195576083233,0.016366071020211592,1.0,0.007871196064364483,-0.010211395997155037,1.0,0.011374995502841045,0.0009576819328547259,1.0
55440,2026-04-28 23:00:00,2026,0.0020529759400353953,0.008581895339055734,1.0,0.004952145861910395,-0.005374972201053652,1.0,0.007297231005953364,-0.007210912019964155,1.0,0.011223508166597895,9.567277297861665e-05,1.0
55444,2026-04-29 03:00:00,2026,0.00199597531533513,0.0006248396697170477,1.0,0.003868991672757005,-0.018852272263762515,0.0,0.005387241184475755,-0.014049111655001667,1.0,0.008064204990628099,0.001647642550043571,1.0
55448,2026-04-29 07:00:00,2026,0.002189388209094645,0.007100355083887067,1.0,0.004670848780383707,-0.016417647028736937,0.0,0.006104221277942301,-0.011413679510697605,1.0,0.009293308192004801,0.0012485092839522594,1.0
55452,2026-04-29 11:00:00,2026,0.0030140666945435157,-0.0216820622937135,0.0,0.0052294521315552345,-0.02177430640860578,0.0,0.006271818159387266,-0.019788985017939353,0.0,0.008937337873742734,-0.001587281436869148,1.0
55456,2026-04-29 15:00:00,2026,0.002651947164526547,-0.0048954047236531295,1.0,0.007306831502905453,0.003168027699128828,1.0,0.008256691122046078,0.007010633911797015,1.0,0.010508316183081234,0.03249218809011545,1.0
55460,2026-04-29 19:00:00,2026,0.0014323921713828014,0.003059464904742626,1.0,0.004894229939937489,0.006788481999427276,1.0,0.005001995137691395,0.011169077930009763,1.0,0.006118747762203114,0.036385756881735176,0.0
55464,2026-04-29 23:00:00,2026,0.0013779550376362693,0.0017436957040182222,1.0,0.0038279443564839255,0.008846573730707519,1.0,0.0057467370810933005,0.007306584792942772,1.0,0.007743731099647988,0.03173021627120498,1.0
55468,2026-04-30 03:00:00,2026,0.0019221240186766408,0.0032602718140211095,1.0,0.0031647616529539846,0.006365917321248915,1.0,0.005025380244262578,0.015696754205045238,1.0,0.005797856440551641,0.03235862815985868,1.0
55472,2026-04-30 07:00:00,2026,0.00048813852057350005,-0.0012749504233546816,1.0,0.0016153815625656875,0.00230261727490344,1.0,0.0014017585156906875,0.012662188794649865,1.0,0.0004337790845383438,0.026593233972981523,1.0
55476,2026-04-30 11:00:00,2026,0.0018126800083813066,0.005117556636022869,1.0,0.004528744461506307,0.01371143281437881,1.0,0.004791958572834432,0.018201703581070205,1.0,0.003973706009357869,0.02689689618587998,1.0
55480,2026-04-30 15:00:00,2026,0.0023437363484326568,-0.0007369607054403815,1.0,0.004962526021284219,0.008819582581981678,1.0,0.0051923615315381255,0.025481554178318433,0.0,0.006075463948530313,0.026175231793970966,1.0
55484,2026-04-30 19:00:00,2026,0.0023578119220371008,-0.0008030282323243654,1.0,0.004450173372232413,0.013821107650487718,1.0,0.0038913202228183508,0.025216678951725413,0.0,0.0056603860797519445,0.026835707543964915,1.0
55488,2026-04-30 23:00:00,2026,0.0012515841729161536,0.010133865116120688,0.0,0.002896672368716935,0.02702154311608318,0.0,0.004001980901431779,0.02442363147826221,0.0,0.006726628423404435,0.030300791993676413,1.0
55492,2026-05-01 03:00:00,2026,0.0012733968522056216,0.00022570640362573613,1.0,0.0001518758561118716,0.01588584206792909,1.0,0.00047707879800640285,0.016661873954813444,1.0,0.003284695985506403,0.013911139341045597,1.0
55496,2026-05-01 07:00:00,2026,0.003086646137056448,0.004264564363065659,1.0,0.0020166235540486355,0.014064059958515784,1.0,0.0033927755926228542,0.013931045178331658,1.0,0.006573279437837698,0.015656305066123366,1.0
55500,2026-05-01 11:00:00,2026,0.0004480964834634449,0.012397407233271096,0.0,0.0004910118277017261,0.012171603188122049,1.0,0.00214563676666657,0.008695192604809776,1.0,0.005703795641178289,0.015264634746053218,1.0
55504,2026-05-01 15:00:00,2026,-0.0018689732253935887,-0.0010018359320334014,1.0,-0.0017030338943389012,-0.0027309264180050974,1.0,1.7394572457973823e-05,0.0006936776156525326,1.0,0.003111114054879849,0.0029270065719408933,1.0
55508,2026-05-01 19:00:00,2026,-0.0001366227669929998,-0.0015960757057875696,1.0,-0.0006916612191414373,-0.0027003786964279186,1.0,-0.00027109084560628105,0.001619028592239502,1.0,0.003597965856053875,0.005249429422789831,1.0
55512,2026-05-01 23:00:00,2026,0.00010618908381410108,0.0023721075926719237,1.0,0.0004399750945562886,0.0032915892534735036,1.0,0.0016482804534430073,0.005877160515414204,1.0,0.004912707638501601,0.004300642790894926,1.0
55516,2026-05-02 03:00:00,2026,5.3417428642177356e-05,-0.00250512237285605,1.0,0.00034333442082967736,0.0008429967053551479,1.0,0.0023698923431929586,-0.0027507346137678468,1.0,0.006077778085380459,0.0239648823531855,1.0
55520,2026-05-02 07:00:00,2026,-1.8288201431460038e-05,-0.0009712882104562226,1.0,0.00068361609544354,0.00601017529559833,1.0,0.003220389777084165,0.001725259887791708,1.0,0.005639861517806821,0.01877718777179993,1.0
55524,2026-05-02 11:00:00,2026,0.0023777894377357,0.004395892244113853,1.0,0.003449719369376325,0.0007256759695444259,1.0,0.005090992867911481,0.006569442141243442,1.0,0.008388798654044294,0.00825968362540408,1.0
55528,2026-05-02 15:00:00,2026,0.00157724936647341,-7.648495544643197e-05,1.0,0.003949037391375754,-0.001699344145865922,1.0,0.006489625770282004,0.0022333289562883607,1.0,0.008223405677508566,0.019276412471091575,1.0
55532,2026-05-02 19:00:00,2026,0.001959863777486248,0.002662056217387132,1.0,0.003721300239888592,0.0022500348525760216,1.0,0.005106035347310467,0.003630400830550329,1.0,0.006785455818501873,0.019874163402111122,1.0
55536,2026-05-02 23:00:00,2026,0.0011717775918373974,-0.006255787536510127,1.0,0.0037629107095131786,-0.0003522423056523394,1.0,0.00449247156156396,-0.0015765177245192774,1.0,0.007118890628946772,0.014806017606751709,1.0
55540,2026-05-03 03:00:00,2026,0.0023130097694608054,0.0019708721287035047,1.0,0.003539434940359243,0.0072241321496733235,1.0,0.003953329593679555,0.02671561696695335,0.0,0.005641333133718618,0.03364483094064319,1.0
55544,2026-05-03 07:00:00,2026,0.001689679449839332,0.0038728940429955117,1.0,0.002456433600229957,0.0027083976832873446,1.0,0.0033013890445658944,0.017051927884008222,1.0,0.004034764593882301,0.031412905329753826,0.0
55548,2026-05-03 11:00:00,2026,0.0015866599795977265,5.977905915877102e-05,1.0,0.0021293006656328828,0.020871850795254332,0.0,0.0035521827457110078,0.0016902414841606372,1.0,0.0065228782413164765,0.029483286092800043,1.0
55552,2026-05-03 15:00:00,2026,0.0010223872070600493,0.0013205869188155361,1.0,0.000903177917509268,0.01311925478185394,1.0,0.0016556269531537993,0.017043083514803214,1.0,0.003748942077665518,0.03577210158966615,0.0
55556,2026-05-03 19:00:00,2026,0.0009616040602171694,-0.002544862337682474,1.0,0.00012141698746326313,0.0003098755061863301,1.0,0.00019771093277576313,0.016243762571560794,1.0,0.0026667737379515444,0.03525743658421021,0.0
55560,2026-05-03 23:00:00,2026,0.0009429898353996435,0.0220363471549625,0.0,0.0011156048866691748,0.018267358933670153,0.0,0.0027549710365715185,0.016382535331270986,1.0,0.006158634671825425,0.029274778020790038,1.0
55564,2026-05-04 03:00:00,2026,0.0014400594284840196,-0.007692816954241621,1.0,0.0024614446213551133,-0.003247722245719231,1.0,0.003345500712663707,0.006929213973689841,1.0,0.007834445719987926,0.015539083583115954,1.0
55568,2026-05-04 07:00:00,2026,0.0012431287630967347,-0.011488792356852073,0.0,0.0023255491122178285,0.002039005130550109,1.0,0.0035128736361436097,0.014360977445745604,1.0,0.006955637918370172,0.02074401326952824,1.0
55572,2026-05-04 11:00:00,2026,0.0010141247942652143,0.015412621089801348,0.0,0.001409899635573808,0.026110823284783535,0.0,0.0022844189837183393,0.027793044608639406,0.0,0.004476916237136308,0.046298586820118004,0.0
55576,2026-05-04 15:00:00,2026,-0.000959317828739259,0.0005212659755731153,1.0,0.0005608390316123035,0.01043714871279633,1.0,0.002641756390010741,0.018729018074862935,1.0,0.005753595684444335,0.020784857435835136,1.0
55580,2026-05-04 19:00:00,2026,0.0016856149261563758,-0.0024060895779722813,1.0,0.0024828866546720008,0.011859157543264942,1.0,0.0042099908416837195,0.019013674012649417,1.0,0.006953711849984501,0.017321346941843174,1.0
55584,2026-05-04 23:00:00,2026,0.000719512121316157,0.012583025797381353,0.0,0.002893889562722407,0.0206138416772621,0.0,0.003370726720925532,0.012892242689519051,1.0,0.005835974828835688,0.019403125340399896,1.0
55588,2026-05-05 03:00:00,2026,0.00010509899483324148,-0.0002610534821858579,1.0,0.0021078150592863665,0.008836737793240346,1.0,0.0036375086628019915,0.008609869609426113,1.0,0.006175236018759023,-0.0004899953202013307,1.0
55592,2026-05-05 07:00:00,2026,0.0013055216786792556,0.0019432748060417282,1.0,0.0035209071156909744,0.000570270374323556,1.0,0.005419672679655818,0.0063830358237826346,1.0,0.0089415919301441,0.008186327687733197,1.0
55596,2026-05-05 11:00:00,2026,0.002081172348711746,0.006348594556024878,1.0,0.0038254426734187774,0.006927648285570243,1.0,0.003986613632891434,0.0185055422114786,1.0,0.007235782028887527,-0.0017935628157488281,1.0
55600,2026-05-05 15:00:00,2026,0.0009005389132923369,0.0008059219133595974,1.0,0.002548488132042337,-0.0019088335382839716,1.0,0.0035584292331165557,0.0020558393609722003,1.0,0.006234439364952493,-0.020169223831493,1.0
55604,2026-05-05 19:00:00,2026,0.0025274401810850833,-0.008527520901102648,0.0,0.004156315913506958,0.011351025742094123,1.0,0.005640233149835083,-0.0016923270708062432,1.0,0.009309018245049927,-0.01795572729218975,1.0
55608,2026-05-05 23:00:00,2026,0.0022916477887306996,0.008300652717288415,1.0,0.003743140098301012,0.00977743834871525,1.0,0.004905669090000231,0.006510882650880845,1.0,0.008405653831211168,-0.01109869983738676,1.0
55612,2026-05-06 03:00:00,2026,0.0005484596710516598,-0.0024878872678293362,1.0,0.002441503189118066,-0.0014654588869920104,1.0,0.00356969990542666,-0.009099864929627444,1.0,0.007821180007965722,-0.02478337427722721,0.0
55616,2026-05-06 07:00:00,2026,0.0013788609769669335,0.014065781193737692,0.0,0.0034044652250138085,0.0006981172014217663,1.0,0.004444923904213027,0.0018032918639505624,1.0,0.0072534947660294335,-0.02110183208519878,0.0
55620,2026-05-06 11:00:00,2026,0.0004499434917253353,-0.01010110829448152,1.0,0.002435493418483148,-0.0206777588555358,0.0,0.003618049570826898,-0.020299105027227426,0.0,0.008651542612819085,-0.028323504366618124,0.0
55624,2026-05-06 15:00:00,2026,0.001204089811109199,-0.002942244518418846,1.0,0.0032430454995857616,-0.0021613810353056095,1.0,0.005043582608960762,-0.0222250631924652,0.0,0.008804874112867012,-0.01900592210394869,1.0
