horizon,model,oo_s,year,n,hit_rate,corr
24,LogReg,2022-07-01,2022,1488,0.5571236559139785,0.10441914147919248
24,GBoost,2022-07-01,2022,1488,0.5463709677419355,0.1297434384762954
48,LogReg,2022-07-01,2022,1488,0.5228494623655914,-0.00993511831929104
48,GBoost,2022-07-01,2022,1488,0.49260752688172044,-0.02997962503686739
4,LogReg,2022-09-01,2022,1464,0.5129781420765027,0.08991912007229545
4,GBoost,2022-09-01,2022,1464,0.5403005464480874,0.11317534550128297
16,LogReg,2022-09-01,2022,1464,0.546448087431694,0.09487873952712757
16,GBoost,2022-09-01,2022,1464,0.5730874316939891,0.120488833283416
24,LogReg,2022-09-01,2022,1464,0.5648907103825137,0.10247992944402713
24,GBoost,2022-09-01,2022,1464,0.587431693989071,0.1798924173800889
48,LogReg,2022-09-01,2022,1464,0.5389344262295082,0.08722344726654316
48,GBoost,2022-09-01,2022,1464,0.578551912568306,0.14328987435848878
4,LogReg,2022-11-01,2022,1464,0.51775956284153,0.06258867858265088
4,GBoost,2022-11-01,2022,1464,0.5211748633879781,0.06768288377409348
16,LogReg,2022-11-01,2022,1464,0.549863387978142,0.023582652188755087
16,GBoost,2022-11-01,2022,1464,0.4849726775956284,0.012999493589516225
24,LogReg,2022-11-01,2022,1464,0.5273224043715847,0.060686604496790024
24,GBoost,2022-11-01,2022,1464,0.47882513661202186,-0.00941047150980004
48,LogReg,2022-11-01,2022,1464,0.505464480874317,0.005768948639909897
48,GBoost,2022-11-01,2022,1464,0.5034153005464481,0.04924417399994264
4,LogReg,2023-01-01,2023,1416,0.5607344632768362,0.1176312496559665
4,GBoost,2023-01-01,2023,1416,0.5529661016949152,0.13535039215348896
16,LogReg,2023-01-01,2023,1416,0.6002824858757062,0.2272189010533664
16,GBoost,2023-01-01,2023,1416,0.5225988700564972,0.03185013317233611
24,LogReg,2023-01-01,2023,1416,0.6532485875706214,0.29788542084339
24,GBoost,2023-01-01,2023,1416,0.5056497175141242,-0.0024512614636719946
48,LogReg,2023-01-01,2023,1416,0.5353107344632768,0.11587617893929927
48,GBoost,2023-01-01,2023,1416,0.5190677966101694,0.010236322338816804
4,LogReg,2023-03-01,2023,1464,0.546448087431694,0.09632257604469216
4,GBoost,2023-03-01,2023,1464,0.5478142076502732,0.09151185846502118
16,LogReg,2023-03-01,2023,1464,0.5061475409836066,0.04980378063211764
16,GBoost,2023-03-01,2023,1464,0.5355191256830601,0.061269599751301515
24,LogReg,2023-03-01,2023,1464,0.5191256830601093,0.06355185890845834
24,GBoost,2023-03-01,2023,1464,0.5122950819672131,0.05615419077083684
48,LogReg,2023-03-01,2023,1464,0.47950819672131145,-0.022098590005760567
48,GBoost,2023-03-01,2023,1464,0.5280054644808743,0.03252901362480936
4,LogReg,2023-05-01,2023,1464,0.5239071038251366,0.06007129896511831
4,GBoost,2023-05-01,2023,1464,0.5382513661202186,0.07997161272852836
16,LogReg,2023-05-01,2023,1464,0.46174863387978143,-0.06652275349851339
16,GBoost,2023-05-01,2023,1464,0.48292349726775957,-0.03927098243767435
24,LogReg,2023-05-01,2023,1464,0.5122950819672131,0.02922209783768744
24,GBoost,2023-05-01,2023,1464,0.532103825136612,0.0685279907703394
48,LogReg,2023-05-01,2023,1464,0.523224043715847,0.034709929442585635
48,GBoost,2023-05-01,2023,1464,0.5724043715846995,0.23633526443580136
4,LogReg,2023-07-01,2023,1488,0.5651881720430108,0.13258722127557937
4,GBoost,2023-07-01,2023,1488,0.5873655913978495,0.2275461024519607
16,LogReg,2023-07-01,2023,1488,0.5591397849462365,0.1382883270940273
16,GBoost,2023-07-01,2023,1488,0.543010752688172,0.22095787795183916
24,LogReg,2023-07-01,2023,1488,0.5672043010752689,0.1730886547676083
24,GBoost,2023-07-01,2023,1488,0.5611559139784946,0.23299698326413543
48,LogReg,2023-07-01,2023,1488,0.532258064516129,0.07807927719569253
48,GBoost,2023-07-01,2023,1488,0.4946236559139785,0.005263538780345297
4,LogReg,2023-09-01,2023,1464,0.5300546448087432,0.05425695239686077
4,GBoost,2023-09-01,2023,1464,0.5484972677595629,0.08815683073418588
16,LogReg,2023-09-01,2023,1464,0.5095628415300546,-0.011208461369447677
16,GBoost,2023-09-01,2023,1464,0.47540983606557374,-0.00478667628497671
24,LogReg,2023-09-01,2023,1464,0.48770491803278687,0.01567957398214297
24,GBoost,2023-09-01,2023,1464,0.49043715846994534,0.08661664737355626
48,LogReg,2023-09-01,2023,1464,0.3941256830601093,-0.006240454189440868
48,GBoost,2023-09-01,2023,1464,0.44398907103825136,0.034090171533748985
4,LogReg,2023-11-01,2023,1464,0.5525956284153005,0.14921228534016376
4,GBoost,2023-11-01,2023,1464,0.5778688524590164,0.1490879674932135
16,LogReg,2023-11-01,2023,1464,0.5437158469945356,0.1871134617097506
16,GBoost,2023-11-01,2023,1464,0.5908469945355191,0.19526713533837592
24,LogReg,2023-11-01,2023,1464,0.5867486338797814,0.21587398522413914
24,GBoost,2023-11-01,2023,1464,0.5792349726775956,0.16091546910875418
48,LogReg,2023-11-01,2023,1464,0.5901639344262295,0.07184384617605381
48,GBoost,2023-11-01,2023,1464,0.5737704918032787,0.21321359954069133
4,LogReg,2024-01-01,2024,1440,0.5215277777777778,0.046676463351206725
